1 
2 
0 
100 
10 10 
0.042426 -0.113137 0.020000 0.028284 -0.098995 0.020000 0.028284 -0.098995 0.000000 0.042426 -0.113137 0.000000 
0.028284 -0.098995 0.020000 0.014142 -0.084853 0.020000 0.014142 -0.084853 0.000000 0.028284 -0.098995 0.000000 
0.014142 -0.084853 0.020000 0.000000 -0.070711 0.020000 0.000000 -0.070711 0.000000 0.014142 -0.084853 0.000000 
0.000000 -0.070711 0.020000 -0.014142 -0.056569 0.020000 -0.014142 -0.056569 0.000000 0.000000 -0.070711 0.000000 
-0.014142 -0.056569 0.020000 -0.028284 -0.042426 0.020000 -0.028284 -0.042426 0.000000 -0.014142 -0.056569 0.000000 
-0.028284 -0.042426 0.020000 -0.042426 -0.028284 0.020000 -0.042426 -0.028284 0.000000 -0.028284 -0.042426 0.000000 
-0.042426 -0.028284 0.020000 -0.056569 -0.014142 0.020000 -0.056569 -0.014142 0.000000 -0.042426 -0.028284 0.000000 
-0.056569 -0.014142 0.020000 -0.070711 -0.000000 0.020000 -0.070711 -0.000000 0.000000 -0.056569 -0.014142 0.000000 
0.070711 -0.141421 0.000000 0.056569 -0.127279 0.000000 0.056569 -0.127279 -0.020000 0.070711 -0.141421 -0.020000 
0.056569 -0.127279 0.000000 0.042426 -0.113137 0.000000 0.042426 -0.113137 -0.020000 0.056569 -0.127279 -0.020000 
0.042426 -0.113137 0.000000 0.028284 -0.098995 0.000000 0.028284 -0.098995 -0.020000 0.042426 -0.113137 -0.020000 
0.028284 -0.098995 0.000000 0.014142 -0.084853 0.000000 0.014142 -0.084853 -0.020000 0.028284 -0.098995 -0.020000 
0.014142 -0.084853 0.000000 0.000000 -0.070711 0.000000 0.000000 -0.070711 -0.020000 0.014142 -0.084853 -0.020000 
0.000000 -0.070711 0.000000 -0.014142 -0.056569 0.000000 -0.014142 -0.056569 -0.020000 0.000000 -0.070711 -0.020000 
-0.014142 -0.056569 0.000000 -0.028284 -0.042426 0.000000 -0.028284 -0.042426 -0.020000 -0.014142 -0.056569 -0.020000 
-0.028284 -0.042426 0.000000 -0.042426 -0.028284 0.000000 -0.042426 -0.028284 -0.020000 -0.028284 -0.042426 -0.020000 
-0.042426 -0.028284 0.000000 -0.056569 -0.014142 0.000000 -0.056569 -0.014142 -0.020000 -0.042426 -0.028284 -0.020000 
-0.056569 -0.014142 0.000000 -0.070711 -0.000000 0.000000 -0.070711 -0.000000 -0.020000 -0.056569 -0.014142 -0.020000 
0.070711 -0.141421 -0.020000 0.056569 -0.127279 -0.020000 0.056569 -0.127279 -0.040000 0.070711 -0.141421 -0.040000 
0.056569 -0.127279 -0.020000 0.042426 -0.113137 -0.020000 0.042426 -0.113137 -0.040000 0.056569 -0.127279 -0.040000 
0.042426 -0.113137 -0.020000 0.028284 -0.098995 -0.020000 0.028284 -0.098995 -0.040000 0.042426 -0.113137 -0.040000 
0.028284 -0.098995 -0.020000 0.014142 -0.084853 -0.020000 0.014142 -0.084853 -0.040000 0.028284 -0.098995 -0.040000 
0.014142 -0.084853 -0.020000 0.000000 -0.070711 -0.020000 0.000000 -0.070711 -0.040000 0.014142 -0.084853 -0.040000 
0.000000 -0.070711 -0.020000 -0.014142 -0.056569 -0.020000 -0.014142 -0.056569 -0.040000 0.000000 -0.070711 -0.040000 
-0.014142 -0.056569 -0.020000 -0.028284 -0.042426 -0.020000 -0.028284 -0.042426 -0.040000 -0.014142 -0.056569 -0.040000 
-0.028284 -0.042426 -0.020000 -0.042426 -0.028284 -0.020000 -0.042426 -0.028284 -0.040000 -0.028284 -0.042426 -0.040000 
-0.042426 -0.028284 -0.020000 -0.056569 -0.014142 -0.020000 -0.056569 -0.014142 -0.040000 -0.042426 -0.028284 -0.040000 
-0.056569 -0.014142 -0.020000 -0.070711 -0.000000 -0.020000 -0.070711 -0.000000 -0.040000 -0.056569 -0.014142 -0.040000 
0.070711 -0.141421 -0.040000 0.056569 -0.127279 -0.040000 0.056569 -0.127279 -0.060000 0.070711 -0.141421 -0.060000 
0.056569 -0.127279 -0.040000 0.042426 -0.113137 -0.040000 0.042426 -0.113137 -0.060000 0.056569 -0.127279 -0.060000 
0.042426 -0.113137 -0.040000 0.028284 -0.098995 -0.040000 0.028284 -0.098995 -0.060000 0.042426 -0.113137 -0.060000 
0.028284 -0.098995 -0.040000 0.014142 -0.084853 -0.040000 0.014142 -0.084853 -0.060000 0.028284 -0.098995 -0.060000 
0.014142 -0.084853 -0.040000 0.000000 -0.070711 -0.040000 0.000000 -0.070711 -0.060000 0.014142 -0.084853 -0.060000 
0.000000 -0.070711 -0.040000 -0.014142 -0.056569 -0.040000 -0.014142 -0.056569 -0.060000 0.000000 -0.070711 -0.060000 
-0.014142 -0.056569 -0.040000 -0.028284 -0.042426 -0.040000 -0.028284 -0.042426 -0.060000 -0.014142 -0.056569 -0.060000 
-0.028284 -0.042426 -0.040000 -0.042426 -0.028284 -0.040000 -0.042426 -0.028284 -0.060000 -0.028284 -0.042426 -0.060000 
-0.042426 -0.028284 -0.040000 -0.056569 -0.014142 -0.040000 -0.056569 -0.014142 -0.060000 -0.042426 -0.028284 -0.060000 
-0.056569 -0.014142 -0.040000 -0.070711 -0.000000 -0.040000 -0.070711 -0.000000 -0.060000 -0.056569 -0.014142 -0.060000 
0.070711 -0.141421 -0.060000 0.056569 -0.127279 -0.060000 0.056569 -0.127279 -0.080000 0.070711 -0.141421 -0.080000 
0.056569 -0.127279 -0.060000 0.042426 -0.113137 -0.060000 0.042426 -0.113137 -0.080000 0.056569 -0.127279 -0.080000 
0.042426 -0.113137 -0.060000 0.028284 -0.098995 -0.060000 0.028284 -0.098995 -0.080000 0.042426 -0.113137 -0.080000 
0.028284 -0.098995 -0.060000 0.014142 -0.084853 -0.060000 0.014142 -0.084853 -0.080000 0.028284 -0.098995 -0.080000 
0.014142 -0.084853 -0.060000 0.000000 -0.070711 -0.060000 0.000000 -0.070711 -0.080000 0.014142 -0.084853 -0.080000 
0.000000 -0.070711 -0.060000 -0.014142 -0.056569 -0.060000 -0.014142 -0.056569 -0.080000 0.000000 -0.070711 -0.080000 
-0.014142 -0.056569 -0.060000 -0.028284 -0.042426 -0.060000 -0.028284 -0.042426 -0.080000 -0.014142 -0.056569 -0.080000 
-0.028284 -0.042426 -0.060000 -0.042426 -0.028284 -0.060000 -0.042426 -0.028284 -0.080000 -0.028284 -0.042426 -0.080000 
-0.042426 -0.028284 -0.060000 -0.056569 -0.014142 -0.060000 -0.056569 -0.014142 -0.080000 -0.042426 -0.028284 -0.080000 
-0.056569 -0.014142 -0.060000 -0.070711 -0.000000 -0.060000 -0.070711 -0.000000 -0.080000 -0.056569 -0.014142 -0.080000 
0.070711 -0.141421 -0.080000 0.056569 -0.127279 -0.080000 0.056569 -0.127279 -0.100000 0.070711 -0.141421 -0.100000 
0.056569 -0.127279 -0.080000 0.042426 -0.113137 -0.080000 0.042426 -0.113137 -0.100000 0.056569 -0.127279 -0.100000 
0.042426 -0.113137 -0.080000 0.028284 -0.098995 -0.080000 0.028284 -0.098995 -0.100000 0.042426 -0.113137 -0.100000 
0.028284 -0.098995 -0.080000 0.014142 -0.084853 -0.080000 0.014142 -0.084853 -0.100000 0.028284 -0.098995 -0.100000 
0.014142 -0.084853 -0.080000 0.000000 -0.070711 -0.080000 0.000000 -0.070711 -0.100000 0.014142 -0.084853 -0.100000 
0.000000 -0.070711 -0.080000 -0.014142 -0.056569 -0.080000 -0.014142 -0.056569 -0.100000 0.000000 -0.070711 -0.100000 
-0.014142 -0.056569 -0.080000 -0.028284 -0.042426 -0.080000 -0.028284 -0.042426 -0.100000 -0.014142 -0.056569 -0.100000 
-0.028284 -0.042426 -0.080000 -0.042426 -0.028284 -0.080000 -0.042426 -0.028284 -0.100000 -0.028284 -0.042426 -0.100000 
-0.042426 -0.028284 -0.080000 -0.056569 -0.014142 -0.080000 -0.056569 -0.014142 -0.100000 -0.042426 -0.028284 -0.100000 
-0.056569 -0.014142 -0.080000 -0.070711 -0.000000 -0.080000 -0.070711 -0.000000 -0.100000 -0.056569 -0.014142 -0.100000 
0 
100 
10 10 
-0.070711 -0.000000 0.100000 -0.056569 0.014142 0.100000 -0.056569 0.014142 0.080000 -0.070711 -0.000000 0.080000 
-0.056569 0.014142 0.100000 -0.042426 0.028284 0.100000 -0.042426 0.028284 0.080000 -0.056569 0.014142 0.080000 
-0.042426 0.028284 0.100000 -0.028284 0.042426 0.100000 -0.028284 0.042426 0.080000 -0.042426 0.028284 0.080000 
-0.028284 0.042426 0.100000 -0.014142 0.056569 0.100000 -0.014142 0.056569 0.080000 -0.028284 0.042426 0.080000 
-0.014142 0.056569 0.100000 -0.000000 0.070711 0.100000 -0.000000 0.070711 0.080000 -0.014142 0.056569 0.080000 
-0.000000 0.070711 0.100000 0.014142 0.084853 0.100000 0.014142 0.084853 0.080000 -0.000000 0.070711 0.080000 
0.014142 0.084853 0.100000 0.028284 0.098995 0.100000 0.028284 0.098995 0.080000 0.014142 0.084853 0.080000 
0.028284 0.098995 0.100000 0.042426 0.113137 0.100000 0.042426 0.113137 0.080000 0.028284 0.098995 0.080000 
0.042426 0.113137 0.100000 0.056568 0.127279 0.100000 0.056568 0.127279 0.080000 0.042426 0.113137 0.080000 
0.056568 0.127279 0.100000 0.070711 0.141421 0.100000 0.070711 0.141421 0.080000 0.056568 0.127279 0.080000 
-0.070711 -0.000000 0.080000 -0.056569 0.014142 0.080000 -0.056569 0.014142 0.060000 -0.070711 -0.000000 0.060000 
-0.056569 0.014142 0.080000 -0.042426 0.028284 0.080000 -0.042426 0.028284 0.060000 -0.056569 0.014142 0.060000 
-0.042426 0.028284 0.080000 -0.028284 0.042426 0.080000 -0.028284 0.042426 0.060000 -0.042426 0.028284 0.060000 
-0.028284 0.042426 0.080000 -0.014142 0.056569 0.080000 -0.014142 0.056569 0.060000 -0.028284 0.042426 0.060000 
-0.014142 0.056569 0.080000 -0.000000 0.070711 0.080000 -0.000000 0.070711 0.060000 -0.014142 0.056569 0.060000 
-0.000000 0.070711 0.080000 0.014142 0.084853 0.080000 0.014142 0.084853 0.060000 -0.000000 0.070711 0.060000 
0.014142 0.084853 0.080000 0.028284 0.098995 0.080000 0.028284 0.098995 0.060000 0.014142 0.084853 0.060000 
0.028284 0.098995 0.080000 0.042426 0.113137 0.080000 0.042426 0.113137 0.060000 0.028284 0.098995 0.060000 
0.042426 0.113137 0.080000 0.056568 0.127279 0.080000 0.056568 0.127279 0.060000 0.042426 0.113137 0.060000 
0.056568 0.127279 0.080000 0.070711 0.141421 0.080000 0.070711 0.141421 0.060000 0.056568 0.127279 0.060000 
-0.070711 -0.000000 0.060000 -0.056569 0.014142 0.060000 -0.056569 0.014142 0.040000 -0.070711 -0.000000 0.040000 
-0.056569 0.014142 0.060000 -0.042426 0.028284 0.060000 -0.042426 0.028284 0.040000 -0.056569 0.014142 0.040000 
-0.042426 0.028284 0.060000 -0.028284 0.042426 0.060000 -0.028284 0.042426 0.040000 -0.042426 0.028284 0.040000 
-0.028284 0.042426 0.060000 -0.014142 0.056569 0.060000 -0.014142 0.056569 0.040000 -0.028284 0.042426 0.040000 
-0.014142 0.056569 0.060000 -0.000000 0.070711 0.060000 -0.000000 0.070711 0.040000 -0.014142 0.056569 0.040000 
-0.000000 0.070711 0.060000 0.014142 0.084853 0.060000 0.014142 0.084853 0.040000 -0.000000 0.070711 0.040000 
0.014142 0.084853 0.060000 0.028284 0.098995 0.060000 0.028284 0.098995 0.040000 0.014142 0.084853 0.040000 
0.028284 0.098995 0.060000 0.042426 0.113137 0.060000 0.042426 0.113137 0.040000 0.028284 0.098995 0.040000 
0.042426 0.113137 0.060000 0.056568 0.127279 0.060000 0.056568 0.127279 0.040000 0.042426 0.113137 0.040000 
0.056568 0.127279 0.060000 0.070711 0.141421 0.060000 0.070711 0.141421 0.040000 0.056568 0.127279 0.040000 
-0.070711 -0.000000 0.040000 -0.056569 0.014142 0.040000 -0.056569 0.014142 0.020000 -0.070711 -0.000000 0.020000 
-0.056569 0.014142 0.040000 -0.042426 0.028284 0.040000 -0.042426 0.028284 0.020000 -0.056569 0.014142 0.020000 
-0.042426 0.028284 0.040000 -0.028284 0.042426 0.040000 -0.028284 0.042426 0.020000 -0.042426 0.028284 0.020000 
-0.028284 0.042426 0.040000 -0.014142 0.056569 0.040000 -0.014142 0.056569 0.020000 -0.028284 0.042426 0.020000 
-0.014142 0.056569 0.040000 -0.000000 0.070711 0.040000 -0.000000 0.070711 0.020000 -0.014142 0.056569 0.020000 
-0.000000 0.070711 0.040000 0.014142 0.084853 0.040000 0.014142 0.084853 0.020000 -0.000000 0.070711 0.020000 
0.014142 0.084853 0.040000 0.028284 0.098995 0.040000 0.028284 0.098995 0.020000 0.014142 0.084853 0.020000 
0.028284 0.098995 0.040000 0.042426 0.113137 0.040000 0.042426 0.113137 0.020000 0.028284 0.098995 0.020000 
0.042426 0.113137 0.040000 0.056568 0.127279 0.040000 0.056568 0.127279 0.020000 0.042426 0.113137 0.020000 
0.056568 0.127279 0.040000 0.070711 0.141421 0.040000 0.070711 0.141421 0.020000 0.056568 0.127279 0.020000 
-0.070711 -0.000000 0.020000 -0.056569 0.014142 0.020000 -0.056569 0.014142 0.000000 -0.070711 -0.000000 0.000000 
-0.056569 0.014142 0.020000 -0.042426 0.028284 0.020000 -0.042426 0.028284 0.000000 -0.056569 0.014142 0.000000 
-0.042426 0.028284 0.020000 -0.028284 0.042426 0.020000 -0.028284 0.042426 0.000000 -0.042426 0.028284 0.000000 
-0.028284 0.042426 0.020000 -0.014142 0.056569 0.020000 -0.014142 0.056569 0.000000 -0.028284 0.042426 0.000000 
-0.014142 0.056569 0.020000 -0.000000 0.070711 0.020000 -0.000000 0.070711 0.000000 -0.014142 0.056569 0.000000 
-0.000000 0.070711 0.020000 0.014142 0.084853 0.020000 0.014142 0.084853 0.000000 -0.000000 0.070711 0.000000 
0.014142 0.084853 0.020000 0.028284 0.098995 0.020000 0.028284 0.098995 0.000000 0.014142 0.084853 0.000000 
0.028284 0.098995 0.020000 0.042426 0.113137 0.020000 0.042426 0.113137 0.000000 0.028284 0.098995 0.000000 
0.042426 0.113137 0.020000 0.056568 0.127279 0.020000 0.056568 0.127279 0.000000 0.042426 0.113137 0.000000 
0.056568 0.127279 0.020000 0.070711 0.141421 0.020000 0.070711 0.141421 0.000000 0.056568 0.127279 0.000000 
-0.070711 -0.000000 0.000000 -0.056569 0.014142 0.000000 -0.056569 0.014142 -0.020000 -0.070711 -0.000000 -0.020000 
-0.056569 0.014142 0.000000 -0.042426 0.028284 0.000000 -0.042426 0.028284 -0.020000 -0.056569 0.014142 -0.020000 
-0.042426 0.028284 0.000000 -0.028284 0.042426 0.000000 -0.028284 0.042426 -0.020000 -0.042426 0.028284 -0.020000 
-0.028284 0.042426 0.000000 -0.014142 0.056569 0.000000 -0.014142 0.056569 -0.020000 -0.028284 0.042426 -0.020000 
-0.014142 0.056569 0.000000 -0.000000 0.070711 0.000000 -0.000000 0.070711 -0.020000 -0.014142 0.056569 -0.020000 
-0.000000 0.070711 0.000000 0.014142 0.084853 0.000000 0.014142 0.084853 -0.020000 -0.000000 0.070711 -0.020000 
0.014142 0.084853 0.000000 0.028284 0.098995 0.000000 0.028284 0.098995 -0.020000 0.014142 0.084853 -0.020000 
0.028284 0.098995 0.000000 0.042426 0.113137 0.000000 0.042426 0.113137 -0.020000 0.028284 0.098995 -0.020000 
0.042426 0.113137 0.000000 0.056568 0.127279 0.000000 0.056568 0.127279 -0.020000 0.042426 0.113137 -0.020000 
0.056568 0.127279 0.000000 0.070711 0.141421 0.000000 0.070711 0.141421 -0.020000 0.056568 0.127279 -0.020000 
-0.070711 -0.000000 -0.020000 -0.056569 0.014142 -0.020000 -0.056569 0.014142 -0.040000 -0.070711 -0.000000 -0.040000 
-0.056569 0.014142 -0.020000 -0.042426 0.028284 -0.020000 -0.042426 0.028284 -0.040000 -0.056569 0.014142 -0.040000 
-0.042426 0.028284 -0.020000 -0.028284 0.042426 -0.020000 -0.028284 0.042426 -0.040000 -0.042426 0.028284 -0.040000 
-0.028284 0.042426 -0.020000 -0.014142 0.056569 -0.020000 -0.014142 0.056569 -0.040000 -0.028284 0.042426 -0.040000 
-0.014142 0.056569 -0.020000 -0.000000 0.070711 -0.020000 -0.000000 0.070711 -0.040000 -0.014142 0.056569 -0.040000 
-0.000000 0.070711 -0.020000 0.014142 0.084853 -0.020000 0.014142 0.084853 -0.040000 -0.000000 0.070711 -0.040000 
0.014142 0.084853 -0.020000 0.028284 0.098995 -0.020000 0.028284 0.098995 -0.040000 0.014142 0.084853 -0.040000 
0.028284 0.098995 -0.020000 0.042426 0.113137 -0.020000 0.042426 0.113137 -0.040000 0.028284 0.098995 -0.040000 
0.042426 0.113137 -0.020000 0.056568 0.127279 -0.020000 0.056568 0.127279 -0.040000 0.042426 0.113137 -0.040000 
0.056568 0.127279 -0.020000 0.070711 0.141421 -0.020000 0.070711 0.141421 -0.040000 0.056568 0.127279 -0.040000 
-0.070711 -0.000000 -0.040000 -0.056569 0.014142 -0.040000 -0.056569 0.014142 -0.060000 -0.070711 -0.000000 -0.060000 
-0.056569 0.014142 -0.040000 -0.042426 0.028284 -0.040000 -0.042426 0.028284 -0.060000 -0.056569 0.014142 -0.060000 
-0.042426 0.028284 -0.040000 -0.028284 0.042426 -0.040000 -0.028284 0.042426 -0.060000 -0.042426 0.028284 -0.060000 
-0.028284 0.042426 -0.040000 -0.014142 0.056569 -0.040000 -0.014142 0.056569 -0.060000 -0.028284 0.042426 -0.060000 
-0.014142 0.056569 -0.040000 -0.000000 0.070711 -0.040000 -0.000000 0.070711 -0.060000 -0.014142 0.056569 -0.060000 
-0.000000 0.070711 -0.040000 0.014142 0.084853 -0.040000 0.014142 0.084853 -0.060000 -0.000000 0.070711 -0.060000 
0.014142 0.084853 -0.040000 0.028284 0.098995 -0.040000 0.028284 0.098995 -0.060000 0.014142 0.084853 -0.060000 
0.028284 0.098995 -0.040000 0.042426 0.113137 -0.040000 0.042426 0.113137 -0.060000 0.028284 0.098995 -0.060000 
0.042426 0.113137 -0.040000 0.056568 0.127279 -0.040000 0.056568 0.127279 -0.060000 0.042426 0.113137 -0.060000 
0.056568 0.127279 -0.040000 0.070711 0.141421 -0.040000 0.070711 0.141421 -0.060000 0.056568 0.127279 -0.060000 
-0.070711 -0.000000 -0.060000 -0.056569 0.014142 -0.060000 -0.056569 0.014142 -0.080000 -0.070711 -0.000000 -0.080000 
-0.056569 0.014142 -0.060000 -0.042426 0.028284 -0.060000 -0.042426 0.028284 -0.080000 -0.056569 0.014142 -0.080000 
-0.042426 0.028284 -0.060000 -0.028284 0.042426 -0.060000 -0.028284 0.042426 -0.080000 -0.042426 0.028284 -0.080000 
-0.028284 0.042426 -0.060000 -0.014142 0.056569 -0.060000 -0.014142 0.056569 -0.080000 -0.028284 0.042426 -0.080000 
-0.014142 0.056569 -0.060000 -0.000000 0.070711 -0.060000 -0.000000 0.070711 -0.080000 -0.014142 0.056569 -0.080000 
-0.000000 0.070711 -0.060000 0.014142 0.084853 -0.060000 0.014142 0.084853 -0.080000 -0.000000 0.070711 -0.080000 
0.014142 0.084853 -0.060000 0.028284 0.098995 -0.060000 0.028284 0.098995 -0.080000 0.014142 0.084853 -0.080000 
0.028284 0.098995 -0.060000 0.042426 0.113137 -0.060000 0.042426 0.113137 -0.080000 0.028284 0.098995 -0.080000 
0.042426 0.113137 -0.060000 0.056568 0.127279 -0.060000 0.056568 0.127279 -0.080000 0.042426 0.113137 -0.080000 
0.056568 0.127279 -0.060000 0.070711 0.141421 -0.060000 0.070711 0.141421 -0.080000 0.056568 0.127279 -0.080000 
-0.070711 -0.000000 -0.080000 -0.056569 0.014142 -0.080000 -0.056569 0.014142 -0.100000 -0.070711 -0.000000 -0.100000 
-0.056569 0.014142 -0.080000 -0.042426 0.028284 -0.080000 -0.042426 0.028284 -0.100000 -0.056569 0.014142 -0.100000 
-0.042426 0.028284 -0.080000 -0.028284 0.042426 -0.080000 -0.028284 0.042426 -0.100000 -0.042426 0.028284 -0.100000 
-0.028284 0.042426 -0.080000 -0.014142 0.056569 -0.080000 -0.014142 0.056569 -0.100000 -0.028284 0.042426 -0.100000 
-0.014142 0.056569 -0.080000 -0.000000 0.070711 -0.080000 -0.000000 0.070711 -0.100000 -0.014142 0.056569 -0.100000 
-0.000000 0.070711 -0.080000 0.014142 0.084853 -0.080000 0.014142 0.084853 -0.100000 -0.000000 0.070711 -0.100000 
0.014142 0.084853 -0.080000 0.028284 0.098995 -0.080000 0.028284 0.098995 -0.100000 0.014142 0.084853 -0.100000 
0.028284 0.098995 -0.080000 0.042426 0.113137 -0.080000 0.042426 0.113137 -0.100000 0.028284 0.098995 -0.100000 
0.042426 0.113137 -0.080000 0.056568 0.127279 -0.080000 0.056568 0.127279 -0.100000 0.042426 0.113137 -0.100000 
0.056568 0.127279 -0.080000 0.070711 0.141421 -0.080000 0.070711 0.141421 -0.100000 0.056568 0.127279 -0.100000 

 0 
0 

 0 
